region,sku,capacity_unit,pay_go_hour,reservation_hour
Australia East,F2,2,0.42,0.25
Australia East,F4,4,0.84,0.50
Australia East,F8,8,1.68,1.00
Australia East,F16,16,3.36,2.00
Australia East,F32,32,6.72,4.00
Australia East,F64,64,13.44,7.99
Australia East,FT1,64,13.44,7.99
Australia East,F128,128,26.88,15.99
Australia East,F256,256,53.76,31.97
Australia East,F512,512,107.52,63.94
Australia East,F1024,1024,215.04,127.88
Australia East,F2048,2048,430.08,255.77
Australia Southeast,F2,2,0.42,0.25
Australia Southeast,F4,4,0.84,0.50
Australia Southeast,F8,8,1.68,1.00
Australia Southeast,F16,16,3.36,2.00
Australia Southeast,F32,32,6.72,4.00
Australia Southeast,F64,64,13.44,7.99
Australia Southeast,FT1,64,13.44,7.99
Australia Southeast,F128,128,26.88,15.99
Australia Southeast,F256,256,53.76,31.97
Australia Southeast,F512,512,107.52,63.94
Australia Southeast,F1024,1024,215.04,127.88
Australia Southeast,F2048,2048,430.08,255.77
Brazil South,F2,2,0.56,0.33
Brazil South,F4,4,1.12,0.67
Brazil South,F8,8,2.24,1.33
Brazil South,F16,16,4.48,2.66
Brazil South,F32,32,8.96,5.33
Brazil South,F64,64,17.92,10.65
Brazil South,FT1,64,17.92,10.65
Brazil South,F128,128,35.84,21.31
Brazil South,F256,256,71.68,42.61
Brazil South,F512,512,143.36,85.22
Brazil South,F1024,1024,286.72,170.43
Brazil South,F2048,2048,573.44,340.87
Canada Central,F2,2,0.40,0.24
Canada Central,F4,4,0.80,0.48
Canada Central,F8,8,1.60,0.95
Canada Central,F16,16,3.20,1.90
Canada Central,F32,32,6.40,3.81
Canada Central,F64,64,12.80,7.61
Canada Central,FT1,64,12.80,7.61
Canada Central,F128,128,25.60,15.23
Canada Central,F256,256,51.20,30.45
Canada Central,F512,512,102.40,60.90
Canada Central,F1024,1024,204.80,121.81
Canada Central,F2048,2048,409.60,243.61
Canada East,F2,2,0.40,0.24
Canada East,F4,4,0.80,0.48
Canada East,F8,8,1.60,0.95
Canada East,F16,16,3.20,1.90
Canada East,F32,32,6.40,3.81
Canada East,F64,64,12.80,7.61
Canada East,FT1,64,12.80,7.61
Canada East,F128,128,25.60,15.23
Canada East,F256,256,51.20,30.45
Canada East,F512,512,102.40,60.90
Canada East,F1024,1024,204.80,121.81
Canada East,F2048,2048,409.60,243.61
Central India,F2,2,0.40,0.24
Central India,F4,4,0.80,0.48
Central India,F8,8,1.60,0.95
Central India,F16,16,3.20,1.90
Central India,F32,32,6.40,3.81
Central India,F64,64,12.80,7.61
Central India,FT1,64,12.80,7.61
Central India,F128,128,25.60,15.23
Central India,F256,256,51.20,30.45
Central India,F512,512,102.40,60.90
Central India,F1024,1024,204.80,121.81
Central India,F2048,2048,409.60,243.61
Central US,F2,2,0.36,
Central US,F4,4,0.72,
Central US,F8,8,1.44,
Central US,F16,16,2.88,
Central US,F32,32,5.76,
Central US,F64,64,11.52,
Central US,FT1,64,11.52,
Central US,F128,128,23.04,
Central US,F256,256,46.08,
Central US,F512,512,92.16,
Central US,F1024,1024,184.32,
Central US,F2048,2048,368.64,
East Asia,F2,2,0.36,0.22
East Asia,F4,4,0.72,0.43
East Asia,F8,8,1.44,0.86
East Asia,F16,16,2.88,1.71
East Asia,F32,32,5.76,3.43
East Asia,F64,64,11.52,6.85
East Asia,FT1,64,11.52,6.85
East Asia,F128,128,23.04,13.71
East Asia,F256,256,46.08,27.41
East Asia,F512,512,92.16,54.82
East Asia,F1024,1024,184.32,109.65
East Asia,F2048,2048,368.64,219.30
East US,F2,2,0.36,0.22
East US,F4,4,0.72,0.43
East US,F8,8,1.44,0.86
East US,F16,16,2.88,1.71
East US,F32,32,5.76,3.43
East US,F64,64,11.52,6.85
East US,FT1,64,11.52,6.85
East US,F128,128,23.04,13.71
East US,F256,256,46.08,27.41
East US,F512,512,92.16,54.82
East US,F1024,1024,184.32,109.65
East US,F2048,2048,368.64,219.30
East US 2,F2,2,0.36,0.22
East US 2,F4,4,0.72,0.43
East US 2,F8,8,1.44,0.86
East US 2,F16,16,2.88,1.71
East US 2,F32,32,5.76,3.43
East US 2,F64,64,11.52,6.85
East US 2,FT1,64,11.52,6.85
East US 2,F128,128,23.04,13.71
East US 2,F256,256,46.08,27.41
East US 2,F512,512,92.16,54.82
East US 2,F1024,1024,184.32,109.65
East US 2,F2048,2048,368.64,219.30
France Central,F2,2,0.40,0.24
France Central,F4,4,0.80,0.48
France Central,F8,8,1.60,0.95
France Central,F16,16,3.20,1.90
France Central,F32,32,6.40,3.81
France Central,F64,64,12.80,7.61
France Central,FT1,64,12.80,7.61
France Central,F128,128,25.60,15.23
France Central,F256,256,51.20,30.45
France Central,F512,512,102.40,60.90
France Central,F1024,1024,204.80,121.81
France Central,F2048,2048,409.60,243.61
France South,F2,2,0.52,
France South,F4,4,1.04,
France South,F8,8,2.08,
France South,F16,16,4.16,
France South,F32,32,8.32,
France South,F64,64,16.64,
France South,FT1,64,16.64,
France South,F128,128,33.28,
France South,F256,256,66.56,
France South,F512,512,133.12,
France South,F1024,1024,266.24,
France South,F2048,2048,532.48,
Germany North,F2,2,0.56,
Germany North,F4,4,1.12,
Germany North,F8,8,2.24,
Germany North,F16,16,4.48,
Germany North,F32,32,8.96,
Germany North,F64,64,17.92,
Germany North,FT1,64,17.92,
Germany North,F128,128,35.84,
Germany North,F256,256,71.68,
Germany North,F512,512,143.36,
Germany North,F1024,1024,286.72,
Germany North,F2048,2048,573.44,
Germany West Central,F2,2,0.44,0.26
Germany West Central,F4,4,0.88,0.52
Germany West Central,F8,8,1.76,1.05
Germany West Central,F16,16,3.52,2.09
Germany West Central,F32,32,7.04,4.19
Germany West Central,F64,64,14.08,8.37
Germany West Central,FT1,64,14.08,8.37
Germany West Central,F128,128,28.16,16.75
Germany West Central,F256,256,56.32,33.49
Germany West Central,F512,512,112.64,66.98
Germany West Central,F1024,1024,225.28,133.96
Germany West Central,F2048,2048,450.56,267.92
Israel Central,F2,2,0.42,
Israel Central,F4,4,0.84,
Israel Central,F8,8,1.68,
Israel Central,F16,16,3.36,
Israel Central,F32,32,6.72,
Israel Central,F64,64,13.44,
Israel Central,FT1,64,13.44,
Israel Central,F128,128,26.88,
Israel Central,F256,256,53.76,
Israel Central,F512,512,107.52,
